Name	Count
(2) Использование материала  ( гемостатичекая губка/ Альвеостаз) 	 2
(1) Удаление зуба сложное с откидыванием лоскута 	 1
(1) Наложение шва на слизистую оболочку рта 	 6
(1) Прицельная внутриротовая контактная рентгенография 	 6
(4) Восстановление зуба коронкой временной  	 1
(1) Снятие оттиска с одной челюсти для изготовления силиконового ключа 	 1
(2) Фиксация на временный цемент несъемных ортопедических конструкций (1 единица) 	 1
(2) Снятие несъемной ортопедической конструкции (1 единица) 	 1
(1) Восстановление зуба пломбой I, II, III, V, VI класс по Блэку с использованием материалов из фотополимера Estet HD  (1 поверхность) 	 2
(2) Восстановление зуба пломбой I, II, III, V, VI класс по Блэку с использованием материалов из фотополимера Estet HD  (1 поверхность) 	 1
(2) Избирательное полирование зуба 	 3
(1)  Профессиональная гигиена полости рта и зубов : чистка зубов методом Air-Flow (1 челюсть) 	 2
(2) Инфильтрационная анестезия 	 4
(3) Временное пломбирование лекарственным препаратом корневого канала 	 2
(2) Инструментальная и медикаментозная обработка корневого канала 	 1
(1) Использование материала  ( гемостатичекая губка/ Альвеостаз) 	 2
(1) Наложение временной пломбы 	 2
(2) Наложение шва на слизистую оболочку рта 	 2
(2) Удаление постоянного зуба 	 3
(2) Аппликационная анестезия 	 2
(1) Лоскутная операция в полости рта: пересадка ССТ/СДТ 	 2
(1) Снятие оттиска с одной челюсти CAD/CAM 	 1
(1) Ретракция нитью ретракционной (1 зуб) 	 1
(1) Восстановление зуба коронкой временной композитной фрезерованной лабораторным методом 	 1
(2) Профессиональная гигиена полости рта и зубов  (1 челюсть) 	 3
(1) Удаление зуба сложное с разъединением корней 	 1
(8) Ортодонтическая коррекция: снятие брекета ( 1 единица) 	 1
(1) Воздействие лазерным низкоинтенсивным излучением на область десен (при одиночных поражениях) 1 сеанс 	 1
(1) Ортодонтическая коррекция несъемным ортодонтическим аппаратом: несъемный ретейнер на 1 челюсть 	 1
(1) Корректировка сплинт-шины в зуботехнической лаборатории: компрессия /декомпрессия сустава ( 1 коррекция) 	 2
(1) Ортодонтическая коррекция, активация несъемной/съемной ортодонтической аппаратуры (1 контрольный визит) 	 4
(1) Протезирование зуба с использованием имплантата временной коронкой с винтовой или цементной фиксацией (1 единица) 	 1
(1) Внутрикостная дентальная имплантация системы «AlphaBio» (Израиль)/ "Osstem" (Корея) для дальнейшего зубопротезирования 	 1
(1) Внутрикостная дентальная имплантация: открытие дентального имплантата, формирование десневой манжеты 	 1
(3) Прицельная внутриротовая контактная рентгенография 	 2
(4) Внутрикостная дентальная имплантация : формирование  имплантационного ложа при I (плотном) типе кости для отсроченной имплантации 	 1
(1) Лоскутная операция в полости рта: перемещённые лоскуты 	 1
(1) Коррекция прикуса с использованием съемных и несъемных ортопедических конструкций – сплинт- шина на 2 челюсти 	 1
(2) Внутрикостная дентальная имплантация: открытие дентального имплантата, формирование десневой манжеты 	 1
(2) Восстановление зуба пломбой I, II, III, V, VI класс по Блэку с использованием материалов из фотополимера Ceram spheratek (2 и более поверхности) 	 2
(3) Фиксация на постоянный цемент несъемных ортопедических конструкций: цельнокерамической коронки/ винира (1 единица) 	 1
(3) Восстановление зуба коронкой постоянной безметалловой цельнокерамической, диоксид циркония или E.max с индивидуальной эстетикой 	 1
(1) Протезирование зуба с использованием имплантата индивидуальным циркониевым абатментом с титановым основанием (без стоимости коронки) 	 1
(1) Определение вида смыкания зубных рядов с помощью лицевой дуги 	 1
(2) Снятие оттиска с одной челюсти 	 1
(2) Снятие оттиска с одной челюсти для изготовления силиконового ключа 	 1
(12) Фиксация на временный цемент несъемных ортопедических конструкций (1 единица) 	 1
(8) Ретракция нитью ретракционной (1 зуб) 	 1
(4) Фиксация на постоянный цемент несъемных ортопедических конструкций (1 единица) 	 1
(2) Протезирование зуба с использованием имплантата индивидуальным титановым абатментом (без стоимости коронки) 	 1
(4) Восстановление зуба коронкой постоянной металлокерамической фрезерованной по технологии CAD/CAM с индивидуальным воспроизведением эстетики на зубы в линии улыбки 	 1
(2) Восстановление зуба коронкой временной  	 1
(9) Прицельная внутриротовая контактная рентгенография 	 1
(4) Аппликационная анестезия 	 1
(4) Инфильтрационная анестезия 	 1
(4) Пакет "АнтиСПИД-Антигепатит" 	 1
(4) Ретракция нитью ретракционной (1 зуб) 	 1
(4) Восстановление зуба пломбой I, II, III, V, VI класс по Блэку с использованием материалов из фотополимера Ceram spheratek (1 поверхность) 	 1
(4) Сошлифовывание твердых тканей зуба при лечении кариеса и его осложнений 	 1
(4) Избирательное полирование зуба 	 1
(1) Прием (осмотр, консультация) врача-стоматолога-терапевта первичный 	 1
(4) Временное пломбирование лекарственным препаратом корневого канала 	 1
(1) Корректировка сплинт-шины в зуботехнической лаборатории ( 1 единица) 	 1
(2) Сошлифовывание твердых тканей зуба при лечении кариеса и его осложнений 	 1
(3) Пакет "АнтиСПИД-Антигепатит" 	 1
(1) Снятие оттиска с одной челюсти 	 1
(1) Определение вида смыкания зубных рядов с помощью регистратора 	 1
(1) Протезирование зуба с использованием имплантата индивидуальным титановым абатментом (без стоимости коронки) 	 1
(1) Протезирование зуба с использованием имплантата коронкой постоянной металлокерамической фрезерованной по технологии CAD/CAM с индивидуальным воспроизведением эстетики на зубы в линии улыбки  с цементной фиксацией(без стоимости абатмента) 	 1
(1) Фиксация на постоянный цемент несъемных ортопедических конструкций (1 единица) 	 1
(1) Снятие несъемной ортопедической конструкции с имплантата (1 единица) 	 1
